KODA;SLOVENSKI NAZIV;ANGLEŠKI NAZIV;ANGLEŠKI NAZIV KRATEK;KRIŽEC / ETIOLOGIJA;ZVEZDICA / MANIFESTACIJA;VELJAVNOST;SKUPINA OBOLEVNOSTI;SPOL;SPOL TIP;STAROST MIN.;STAROST MAX.;STAROST TIP;REDKA DIAGNOZA;MORFOLOGIJA;NESPREJEMLJIVA GLAVNA DIAGNOZA;PRIJAVA NALEZLJIVE BOLEZNI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00;Kolera;Cholera;Cholera;0;0;0;001;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00.0;Kolera, ki jo povzroča Vibrio cholerae 01, biovar cholerae;Cholera due to Vibrio cholerae 01, biovar cholerae;Cholera dt 01 biovar cholerae;0;0;1;001;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00.1;Kolera, ki jo povzroča Vibrio cholerae 01, biovar eltor;Cholera due to Vibrio cholerae 01, biovar eltor;Cholera dt biovar eltor;0;0;1;001;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00.9;Kolera, neopredeljena;Cholera, unspecified;Cholera unspecified;0;0;1;001;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A01;Tifus in paratifus;Typhoid and paratyphoid fevers;Typhoid and paratyphoid fevers;0;0;0;002;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A01.0;Tifus;Typhoid fever;Typhoid fever;0;0;1;002;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A01.1;Paratifus A;Paratyphoid fever A;Paratyphoid fever A;0;0;1;002;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A01.2;Paratifus B;Paratyphoid fever B;Paratyphoid fever B;0;0;1;002;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A01.3;Paratifus C;Paratyphoid fever C;Paratyphoid fever C;0;0;1;002;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A01.4;Paratifus, neopredeljen;Paratyphoid fever, unspecified;Paratyphoid fever unspecified;0;0;1;002;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A02;Druge infekcije zaradi salmonel;Other salmonella infections;Other salmonella infections;0;0;0;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A02.0;Salmonelni enteritis;Salmonella enteritis;Salmonella enteritis;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A02.1;Salmonelna sepsa;Salmonella sepsis;Salmonella sepsis;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A02.2;Lokalizirane salmonelne infekcije;Localised salmonella infections;Localised salmonella infections;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A02.8;Druge opredeljene salmonelne infekcije;Other specified salmonella infections;Other specified salmonella infections;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A02.9;Salmonelna infekcija, neopredeljena;Salmonella infection, unspecified;Salmonella infection unspecified;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A03;Šigeloza (griža);Shigellosis;Shigellosis;0;0;0;003;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A03.0;Griža, ki jo povzroča Shigella dysenteriae;Shigellosis due to Shigella dysenteriae;Shigellosis due to Shigella dysenteriae;0;0;1;003;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A03.1;Griža, ki jo povzroča Shigella flexneri;Shigellosis due to Shigella flexneri;Shigellosis due to Shigella flexneri;0;0;1;003;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A03.2;Griža, ki jo povzroča Shigella boydii;Shigellosis due to Shigella boydii;Shigellosis due to Shigella boydii;0;0;1;003;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A03.3;Griža, ki jo povzroča Shigella sonnei;Shigellosis due to Shigella sonnei;Shigellosis due to Shigella sonnei;0;0;1;003;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A03.8;Druge griže;Other shigellosis;Other shigellosis;0;0;1;003;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A03.9;Griža, neopredeljena;Shigellosis, unspecified;Shigellosis unspecified;0;0;1;003;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A04;Druge bakterijske črevesne infekcije ;Other bacterial intestinal infections;Other bacterial intestinal infections;0;0;0;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A04.0;Infekcija, ki jo povzroča enteropatogena Escherichia coli;Enteropathogenic Escherichia coli infection;Enteropathogenic E coli infection;0;0;1;006;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A04.1;Infekcija, ki jo povzroča enterotoksigena Escherichia coli;Enterotoxigenic Escherichia coli infection;Enterotoxigenic E coli infection;0;0;1;006;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A04.2;Infekcija, ki jo povzroča enteroinvazivna Escherichia coli;Enteroinvasive Escherichia coli infection;Enteroinvasive E coli infection;0;0;1;006;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A04.3;Infekcija, ki jo povzroča enterohemoragična Escherichia coli;Enterohaemorrhagic Escherichia coli infection;Enterohaemorrhagic E coli infection;0;0;1;006;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A04.4;Druge črevesne infekcije, ki jih povzroča Escherichia coli;Other intestinal Escherichia coli infections;Other E coli infection;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A04.5;Enteritis, ki ga povzroča kampilobakter;Campylobacter enteritis;Campylobacter enteritis;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A04.6;Enteritis, ki ga povzroča Yersinia enterocolitica;Enteritis due to Yersinia enterocolitica;Enteritis due to Yersinia enterocolitica;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A04.7;Enterokolitis, ki ga povzroča Clostridium difficile;Enterocolitis due to Clostridium difficile;Enterocolitis dt Clostridium difficile;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A04.8;Druge opredeljene črevesne infekcije, ki jih povzročajo bakterije;Other specified bacterial intestinal infections;Other spec bacterial intestinal infectn;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A04.9;Črevesna bakterijska infekcija, neopredeljena;Bacterial intestinal infection, unspecified;Bacterial intestinal infection unsp;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A05;Druge zastrupitve z bakterijami, ki se prenašajo s hrano, ki niso uvrščene drugje;Other bacterial food-borne intoxications, not elsewhere classified;Other bact food-borne intoxications, NEC;0;0;0;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A05.0;Stafilokokna zastrupitev s hrano;Food-borne staphylococcal intoxication;Food-borne staphylococcal intoxication;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A05.1;Botulizem;Botulism;Botulism;0;0;1;006;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A05.2;Zastrupitev s hrano, ki jo povzroča Clostridium perfringens [Clostridium welchii];Food-borne Clostridium perfringens [Clostridium welchii] intoxication;Food-borne intox dt C. perfringens;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A05.3;Zastrupitev s hrano, ki jo povzroča Vibrio parahaemolyticus;Food-borne Vibrio parahaemolyticus intoxication;Food-borne intox dt Vib parahaemolyticus;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A05.4;Zastrupitev s hrano, ki jo povzroča Bacillus cereus;Food-borne Bacillus cereus intoxication;Food-borne Bacillus cereus intoxication;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A05.8;Druge opredeljene bakterijske zastrupitve s hrano;Other specified bacterial food-borne intoxications;Other spec bacterial food-borne intox;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A05.9;Bakterijska zastrupitev s hrano, neopredeljena;Bacterial food-borne intoxication, unspecified;Bacterial food-borne intoxication unsp;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A06;Ameboza;Amoebiasis;Amoebiasis;0;0;0;004;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A06.0;Akutna amebna dizenterija;Acute amoebic dysentery;Acute amoebic dysentery;0;0;1;004;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A06.1;Kronična črevesna ameboza;Chronic intestinal amoebiasis;Chronic intestinal amoebiasis;0;0;1;004;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A06.2;Amebni nedizenterični kolitis;Amoebic nondysenteric colitis;Amoebic nondysenteric colitis;0;0;1;004;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A06.3;Amebom črevesja;Amoeboma of intestine;Amoeboma of intestine;0;0;1;004;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A06.4;Jetrni amebni absces;Amoebic liver abscess;Amoebic liver abscess;0;0;1;004;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A06.5;Pljučni amebni absces;Amoebic lung abscess;Amoebic lung abscess;0;0;1;004;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A06.6;Možganski amebni absces;Amoebic brain abscess;Amoebic brain abscess;0;0;1;004;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A06.7;Kožna ameboza;Cutaneous amoebiasis;Cutaneous amoebiasis;0;0;1;004;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A06.8;Amebna infekcija na drugih mestih;Amoebic infection of other sites;Amoebic infection of other sites;0;0;1;004;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A06.9;Ameboza, neopredeljena;Amoebiasis, unspecified;Amoebiasis unspecified;0;0;1;004;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A07;Druge protozojske črevesne bolezni;Other protozoal intestinal diseases;Other protozoal intestinal diseases;0;0;0;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A07.0;Balantidioza;Balantidiasis;Balantidiasis;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A07.1;Lamblioza [Giardioza];Giardiasis [lambliasis];Giardiasis [lambliasis];0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A07.2;Kriptosporidioza;Cryptosporidiosis;Cryptosporidiosis;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A07.3;Izosporioza;Isosporiasis;Isosporiasis;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A07.8;Druge opredeljene protozojske črevesne bolezni;Other specified protozoal intestinal diseases;Other spec protozoal intestinal diseases;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
