siKoda;normalizirana;SLOVENSKI NAZIV
A00;A00;Kolera
A00.0;A000;Kolera, ki jo povzroča Vibrio cholerae 01, biovar cholerae
A00.1;A001;Kolera, ki jo povzroča Vibrio cholerae 01, biovar eltor
A00.9;A009;Kolera, neopredeljena
A01;A01;Tifus in paratifus
A01.0;A010;Tifus
A01.1;A011;Paratifus A
A01.2;A012;Paratifus B
A01.3;A013;Paratifus C
A01.4;A014;Paratifus, neopredeljen
A02;A02;Druge infekcije zaradi salmonel
A02.0;A020;Salmonelni enteritis
A02.1;A021;Salmonelna sepsa
A02.2;A022;Lokalizirane salmonelne infekcije
A02.8;A028;Druge opredeljene salmonelne infekcije
A02.9;A029;Salmonelna infekcija, neopredeljena
A03;A03;Šigeloza (griža)
A03.0;A030;Griža, ki jo povzroča Shigella dysenteriae
A03.1;A031;Griža, ki jo povzroča Shigella flexneri
A03.2;A032;Griža, ki jo povzroča Shigella boydii
A03.3;A033;Griža, ki jo povzroča Shigella sonnei
A03.8;A038;Druge griže
A03.9;A039;Griža, neopredeljena
A04;A04;Druge bakterijske črevesne infekcije 
A04.0;A040;Infekcija, ki jo povzroča enteropatogena Escherichia coli
A04.1;A041;Infekcija, ki jo povzroča enterotoksigena Escherichia coli
A04.2;A042;Infekcija, ki jo povzroča enteroinvazivna Escherichia coli
A04.3;A043;Infekcija, ki jo povzroča enterohemoragična Escherichia coli
A04.4;A044;Druge črevesne infekcije, ki jih povzroča Escherichia coli
A04.5;A045;Enteritis, ki ga povzroča kampilobakter
A04.6;A046;Enteritis, ki ga povzroča Yersinia enterocolitica
A04.7;A047;Enterokolitis, ki ga povzroča Clostridium difficile
A04.8;A048;Druge opredeljene črevesne infekcije, ki jih povzročajo bakterije
A04.9;A049;Črevesna bakterijska infekcija, neopredeljena
A05;A05;Druge zastrupitve z bakterijami, ki se prenašajo s hrano, ki niso uvrščene drugje
A05.0;A050;Stafilokokna zastrupitev s hrano
A05.1;A051;Botulizem
A05.2;A052;Zastrupitev s hrano, ki jo povzroča Clostridium perfringens [Clostridium welchii]
A05.3;A053;Zastrupitev s hrano, ki jo povzroča Vibrio parahaemolyticus
A05.4;A054;Zastrupitev s hrano, ki jo povzroča Bacillus cereus
A05.8;A058;Druge opredeljene bakterijske zastrupitve s hrano
A05.9;A059;Bakterijska zastrupitev s hrano, neopredeljena
A06;A06;Ameboza
A06.0;A060;Akutna amebna dizenterija
A06.1;A061;Kronična črevesna ameboza
A06.2;A062;Amebni nedizenterični kolitis
A06.3;A063;Amebom črevesja
A06.4;A064;Jetrni amebni absces
A06.5;A065;Pljučni amebni absces
A06.6;A066;Možganski amebni absces
A06.7;A067;Kožna ameboza
A06.8;A068;Amebna infekcija na drugih mestih
A06.9;A069;Ameboza, neopredeljena
A07;A07;Druge protozojske črevesne bolezni
A07.0;A070;Balantidioza
A07.1;A071;Lamblioza [Giardioza]
A07.2;A072;Kriptosporidioza
A07.3;A073;Izosporioza
A07.8;A078;Druge opredeljene protozojske črevesne bolezni
A07.9;A079;Protozojska črevesna bolezen, neopredeljena
A08;A08;Virusne in druge opredeljene črevesne infekcije
A08.0;A080;Rotavirusni enteritis
A08.1;A081;Akutna gastroenteropatija, ki jo povzroča Norwalk virus
A08.2;A082;Adenovirusni enteritis
A08.3;A083;Drugi virusni enteritis
A08.4;A084;Črevesna virusna infekcija, neopredeljena
A08.5;A085;Druge opredeljene črevesne infekcije
A09;A09;Drugi gastroenteritis ali kolitis infekcijske etiologije ali neopredeljenega vzroka
A09.0;A090;Drugi gastroenteritis ali kolitis infekcijske etiologije
A09.9;A099;Gastroenteritis ali kolitis, vzrok neopredeljen
A15;A15;Tuberkuloza dihal, potrjena bakteriološko in/ali histološko
A15.0;A150;Tuberkuloza pljuč, potrjena z mikroskopskim pregledom sputuma ali tudi v kulturi
A15.1;A151;Tuberkuloza pljuč, potrjena le v kulturi
A15.2;A152;Tuberkuloza pljuč, potrjena le histološko
A15.3;A153;Tuberkuloza pljuč, potrjena, način potrditve ni opredeljen
A15.4;A154;Tuberkuloza intratorakalnih bezgavk, potrjena bakteriološko in/ali histološko
A15.5;A155;Tuberkuloza larinksa, traheje in bronhijev, potrjena bakteriološko in/ali histološko
A15.6;A156;Tuberkulozni plevritis, potrjen bakteriološko in/ali histološko
A15.7;A157;Primarna tuberkuloza dihal, potrjena bakteriološko in/ali histološko
A15.8;A158;Druge vrste tuberkuloza dihal, potrjena bakteriološko in/ali histološko
A15.9;A159;Tuberkuloza dihal, neopredeljena, potrjena bakteriološko in/ali histološko
A16;A16;Tuberkuloza dihal, ki bakteriološko ali histološko ni potrjena
A16.0;A160;Tuberkuloza pljuč, bakteriološko in histološko negativna
A16.1;A161;Tuberkuloza pljuč, bakteriološka ali histološka preiskava ni bila opravljena
A16.2;A162;Tuberkuloza pljuč, bakteriološka ali histološka potrditev ni omenjena
A16.3;A163;Tuberkuloza intratorakalnih bezgavk, bakteriološka ali histološka potrditev ni omenjena
A16.4;A164;Tuberkuloza larinksa, traheje in bronhijev, bakteriološka ali histološka potrditev ni omenjena
A16.5;A165;Tuberkulozni plevritis, bakteriološka ali histološka potrditev ni omenjena
A16.7;A167;Primarna tuberkuloza dihal, bakteriološka ali histološka potrditev ni omenjena
A16.8;A168;Druge vrste tuberkuloza dihal, bakteriološka ali histološka potrditev ni omenjena
A16.9;A169;Tuberkuloza dihal, neopredeljena, bakteriološka ali histološka potrditev ni omenjena
A17;A17;Tuberkuloza živčevja
A17.0;A170;Tuberkulozni meningitis
A17.1;A171;Tuberkulom mening
A17.8;A178;Druge vrste tuberkuloza živčevja
A17.9;A179;Tuberkuloza živčevja, neopredeljena
A18;A18;Tuberkuloza drugih organov
A18.0;A180;Tuberkuloza kosti in sklepov
A18.1;A181;Tuberkuloza genitourinarnega sistema
A18.2;A182;Tuberkulozna periferna limfadenopatija
A18.3;A183;Tuberkuloza črevesa, peritoneja in mezenterijskih bezgavk
A18.4;A184;Tuberkuloza kože in podkožnega tkiva
A18.5;A185;Očesna tuberkuloza
A18.6;A186;Tuberkuloza ušes
A18.7;A187;Tuberkuloza suprarenalnih žlez
A18.8;A188;Tuberkuloza drugih opredeljenih organov
A19;A19;Miliarna tuberkuloza
A19.0;A190;Akutna miliarna tuberkuloza posameznega opredeljenega organa
A19.1;A191;Akutna miliarna tuberkuloza več organov
A19.2;A192;Akutna miliarna tuberkuloza, neopredeljena
A19.8;A198;Druge vrste miliarna tuberkuloza
